Experiment	CLAMPoints-dat	
Date	04.05.2016 18:50:04	
User		
X (m)	-2.000000E-7	
Y (m)	-2.000000E-7	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	100.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000	

[DATA]
Energy (eV)	Current (A)	Counter 2 (cps)	Bias (V)	Z (m)
55.2000E+0	-41.8553E-9	0.00000E+0	-85.4000E+0	-187.000E-9
55.4000E+0	-40.8354E-9	0.00000E+0	-85.4000E+0	-187.000E-9
55.6000E+0	-38.5258E-9	0.00000E+0	-85.4000E+0	-187.000E-9
55.8000E+0	-40.8960E-9	50.0000E+0	-85.4000E+0	-187.000E-9
56.0000E+0	-41.1871E-9	50.0000E+0	-85.4000E+0	-187.000E-9
56.2000E+0	-46.4140E-9	0.00000E+0	-85.4000E+0	-187.000E-9
56.4000E+0	-47.3052E-9	100.000E+0	-85.4000E+0	-187.000E-9
56.6000E+0	-41.3877E-9	100.000E+0	-85.4000E+0	-187.000E-9
56.8000E+0	-43.5642E-9	0.00000E+0	-85.4000E+0	-187.000E-9
57.0000E+0	-41.7343E-9	50.0000E+0	-85.4000E+0	-187.000E-9
57.2000E+0	-42.1097E-9	0.00000E+0	-85.4000E+0	-187.000E-9
57.4000E+0	-42.3481E-9	0.00000E+0	-85.4000E+0	-187.000E-9
57.6000E+0	-43.9214E-9	0.00000E+0	-85.4000E+0	-187.000E-9
57.8000E+0	-43.4521E-9	0.00000E+0	-85.4000E+0	-187.000E-9
58.0000E+0	-43.1492E-9	0.00000E+0	-85.4000E+0	-187.000E-9
58.2000E+0	-44.0292E-9	0.00000E+0	-85.4000E+0	-187.000E-9
58.4000E+0	-47.2575E-9	50.0000E+0	-85.4000E+0	-187.000E-9
58.6000E+0	-44.8215E-9	0.00000E+0	-85.4000E+0	-187.000E-9
58.8000E+0	-47.6508E-9	0.00000E+0	-85.4000E+0	-187.000E-9
59.0000E+0	-49.0781E-9	50.0000E+0	-85.4000E+0	-187.000E-9
59.2000E+0	-48.2406E-9	0.00000E+0	-85.4000E+0	-187.000E-9
59.4000E+0	-39.7080E-9	0.00000E+0	-85.4000E+0	-187.000E-9
59.6000E+0	-39.8324E-9	0.00000E+0	-85.4000E+0	-187.000E-9
59.8000E+0	-38.7330E-9	0.00000E+0	-85.4000E+0	-187.000E-9
60.0000E+0	-38.6628E-9	0.00000E+0	-85.4000E+0	-187.000E-9
60.2000E+0	-38.6328E-9	50.0000E+0	-85.4000E+0	-187.000E-9
60.4000E+0	-39.3583E-9	50.0000E+0	-85.4000E+0	-187.000E-9
60.6000E+0	-39.2453E-9	0.00000E+0	-85.4000E+0	-187.000E-9
60.8000E+0	-39.2764E-9	0.00000E+0	-85.4000E+0	-187.000E-9
61.0000E+0	-39.6980E-9	0.00000E+0	-85.4000E+0	-187.000E-9
61.2000E+0	-39.6354E-9	0.00000E+0	-85.4000E+0	-187.000E-9
61.4000E+0	-39.9209E-9	50.0000E+0	-85.4000E+0	-187.000E-9
61.6000E+0	-39.9217E-9	0.00000E+0	-85.4000E+0	-187.000E-9
61.8000E+0	-44.4221E-9	0.00000E+0	-85.4000E+0	-187.000E-9
62.0000E+0	-42.2732E-9	0.00000E+0	-85.4000E+0	-187.000E-9
62.2000E+0	-42.9883E-9	0.00000E+0	-85.4000E+0	-187.000E-9
62.4000E+0	-43.2673E-9	0.00000E+0	-85.4000E+0	-187.000E-9
62.6000E+0	-43.0057E-9	0.00000E+0	-85.4000E+0	-187.000E-9
62.8000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
63.0000E+0	-49.3559E-9	50.0000E+0	-85.4000E+0	-187.000E-9
63.2000E+0	-49.3262E-9	0.00000E+0	-85.4000E+0	-187.000E-9
63.4000E+0	-49.3844E-9	50.0000E+0	-85.4000E+0	-187.000E-9
63.6000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
63.8000E+0	-49.4072E-9	0.00000E+0	-85.4000E+0	-187.000E-9
64.0000E+0	-49.3620E-9	0.00000E+0	-85.4000E+0	-187.000E-9
64.2000E+0	-49.4234E-9	0.00000E+0	-85.4000E+0	-187.000E-9
64.4000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
64.6000E+0	-48.1235E-9	0.00000E+0	-85.4000E+0	-187.000E-9
64.8000E+0	-47.9297E-9	0.00000E+0	-85.4000E+0	-187.000E-9
65.0000E+0	-49.3126E-9	0.00000E+0	-85.4000E+0	-187.000E-9
65.2000E+0	-49.1316E-9	0.00000E+0	-85.4000E+0	-187.000E-9
65.4000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
65.6000E+0	-49.1606E-9	0.00000E+0	-85.4000E+0	-187.000E-9
65.8000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
66.0000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
66.2000E+0	-49.4234E-9	0.00000E+0	-85.4000E+0	-187.000E-9
66.4000E+0	-49.4234E-9	50.0000E+0	-85.4000E+0	-187.000E-9
66.6000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
66.8000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
67.0000E+0	-49.4232E-9	50.0000E+0	-85.4000E+0	-187.000E-9
67.2000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
67.4000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
67.6000E+0	-49.4231E-9	50.0000E+0	-85.4000E+0	-187.000E-9
67.8000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
68.0000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
68.2000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
68.4000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
68.6000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
68.8000E+0	-49.4234E-9	50.0000E+0	-85.4000E+0	-187.000E-9
69.0000E+0	-49.4235E-9	0.00000E+0	-85.4000E+0	-187.000E-9
69.2000E+0	-49.4233E-9	50.0000E+0	-85.4000E+0	-187.000E-9
69.4000E+0	-49.4233E-9	50.0000E+0	-85.4000E+0	-187.000E-9
69.6000E+0	-49.4234E-9	0.00000E+0	-85.4000E+0	-187.000E-9
69.8000E+0	-49.4235E-9	50.0000E+0	-85.4000E+0	-187.000E-9
