Experiment	CLAMPoints-dat	
Date	14.06.2016 18:06:47	
User	Danilo	
X (m)	8.394886E-8	
Y (m)	-3.323447E-8	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	50.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000
loops	1

[DATA]
Energy (eV)	Current (A)	CLAM ctr (cp int.time)	Bias (V)	Z (m)
57.2500E+0	-440.770E-9	58.0000E+0	-99.4000E+0	-100.000E-9
57.5000E+0	-441.921E-9	58.0000E+0	-99.4000E+0	-100.000E-9
57.5000E+0	-442.290E-9	76.0000E+0	-99.4000E+0	-100.000E-9
57.7500E+0	-441.566E-9	57.0000E+0	-99.4000E+0	-100.000E-9
57.7500E+0	-441.517E-9	58.0000E+0	-99.4000E+0	-100.000E-9
58.0000E+0	-443.292E-9	45.0000E+0	-99.4000E+0	-100.000E-9
58.0000E+0	-438.900E-9	65.0000E+0	-99.4000E+0	-100.000E-9
58.2500E+0	-443.279E-9	73.0000E+0	-99.4000E+0	-100.000E-9
58.2500E+0	-441.571E-9	52.0000E+0	-99.4000E+0	-100.000E-9
58.5000E+0	-442.213E-9	55.0000E+0	-99.4000E+0	-100.000E-9
58.5000E+0	-439.590E-9	51.0000E+0	-99.4000E+0	-100.000E-9
58.7500E+0	-439.701E-9	67.0000E+0	-99.4000E+0	-100.000E-9
58.7500E+0	-439.144E-9	78.0000E+0	-99.4000E+0	-100.000E-9
59.0000E+0	-439.638E-9	70.0000E+0	-99.4000E+0	-100.000E-9
59.0000E+0	-439.844E-9	65.0000E+0	-99.4000E+0	-100.000E-9
59.2500E+0	-444.511E-9	56.0000E+0	-99.4000E+0	-100.000E-9
59.2500E+0	-439.709E-9	67.0000E+0	-99.4000E+0	-100.000E-9
59.5000E+0	-442.795E-9	64.0000E+0	-99.4000E+0	-100.000E-9
59.5000E+0	-440.986E-9	75.0000E+0	-99.4000E+0	-100.000E-9
59.7500E+0	-442.530E-9	64.0000E+0	-99.4000E+0	-100.000E-9
59.7500E+0	-438.733E-9	65.0000E+0	-99.4000E+0	-100.000E-9
60.0000E+0	-439.868E-9	58.0000E+0	-99.4000E+0	-100.000E-9
60.0000E+0	-447.200E-9	50.0000E+0	-99.4000E+0	-100.000E-9
60.2500E+0	-435.513E-9	48.0000E+0	-99.4000E+0	-100.000E-9
60.2500E+0	-434.484E-9	64.0000E+0	-99.4000E+0	-100.000E-9
60.5000E+0	-435.983E-9	60.0000E+0	-99.4000E+0	-100.000E-9
60.5000E+0	-434.701E-9	55.0000E+0	-99.4000E+0	-100.000E-9
60.7500E+0	-434.592E-9	56.0000E+0	-99.4000E+0	-100.000E-9
60.7500E+0	-433.813E-9	73.0000E+0	-99.4000E+0	-100.000E-9
61.0000E+0	-435.854E-9	71.0000E+0	-99.4000E+0	-100.000E-9
61.0000E+0	-436.624E-9	53.0000E+0	-99.4000E+0	-100.000E-9
61.2500E+0	-435.277E-9	82.0000E+0	-99.4000E+0	-100.000E-9
61.2500E+0	-435.990E-9	74.0000E+0	-99.4000E+0	-100.000E-9
61.5000E+0	-436.003E-9	55.0000E+0	-99.4000E+0	-100.000E-9
61.5000E+0	-436.131E-9	75.0000E+0	-99.4000E+0	-100.000E-9
61.7500E+0	-432.993E-9	72.0000E+0	-99.4000E+0	-100.000E-9
61.7500E+0	-435.746E-9	74.0000E+0	-99.4000E+0	-100.000E-9
62.0000E+0	-432.794E-9	53.0000E+0	-99.4000E+0	-100.000E-9
62.0000E+0	-435.162E-9	71.0000E+0	-99.4000E+0	-100.000E-9
62.2500E+0	-433.363E-9	62.0000E+0	-99.4000E+0	-100.000E-9
62.2500E+0	-432.684E-9	60.0000E+0	-99.4000E+0	-100.000E-9
62.5000E+0	-435.090E-9	64.0000E+0	-99.4000E+0	-100.000E-9
62.5000E+0	-434.276E-9	71.0000E+0	-99.4000E+0	-100.000E-9
62.7500E+0	-435.084E-9	61.0000E+0	-99.4000E+0	-100.000E-9
62.7500E+0	-432.645E-9	54.0000E+0	-99.4000E+0	-100.000E-9
63.0000E+0	-433.391E-9	61.0000E+0	-99.4000E+0	-100.000E-9
63.0000E+0	-435.169E-9	64.0000E+0	-99.4000E+0	-100.000E-9
63.2500E+0	-434.044E-9	54.0000E+0	-99.4000E+0	-100.000E-9
63.2500E+0	-434.574E-9	66.0000E+0	-99.4000E+0	-100.000E-9
63.5000E+0	-434.451E-9	56.0000E+0	-99.4000E+0	-100.000E-9
