Experiment	LongTerm Data	
Date	05.01.2016 16:35:53	
User		
Base Timestamp	2016-01-05 15:36:27.26	

[DATA]
Rel. Time (s)	Z (m)
648.000E+0	28.8525E-9
649.000E+0	28.8091E-9
650.000E+0	28.8185E-9
651.000E+0	28.8316E-9
652.000E+0	28.8567E-9
653.000E+0	28.8232E-9
654.000E+0	28.8013E-9
654.999E+0	28.7852E-9
656.000E+0	28.8181E-9
657.000E+0	28.8146E-9
658.000E+0	28.7829E-9
659.000E+0	28.7743E-9
660.000E+0	28.7883E-9
661.000E+0	28.8158E-9
662.000E+0	28.7831E-9
663.000E+0	28.7597E-9
664.002E+0	28.7518E-9
665.002E+0	28.7810E-9
666.001E+0	28.7733E-9
667.000E+0	28.7477E-9
668.000E+0	28.7505E-9
669.000E+0	28.7439E-9
670.000E+0	28.7606E-9
671.002E+0	28.7517E-9
672.001E+0	28.7267E-9
673.005E+0	28.7262E-9
674.000E+0	28.7316E-9
675.006E+0	28.7394E-9
676.000E+0	28.7085E-9
677.000E+0	28.7156E-9
678.000E+0	28.6972E-9
679.000E+0	28.7324E-9
680.000E+0	28.7277E-9
681.000E+0	28.6984E-9
682.000E+0	28.6925E-9
683.011E+0	28.6906E-9
684.000E+0	28.7188E-9
685.000E+0	28.6854E-9
686.000E+0	28.6772E-9
687.003E+0	28.6741E-9
688.000E+0	28.7039E-9
689.000E+0	28.7043E-9
689.999E+0	28.6582E-9
691.000E+0	28.6616E-9
692.000E+0	28.6526E-9
693.000E+0	28.6984E-9
694.000E+0	28.6670E-9
695.000E+0	28.6429E-9
696.000E+0	28.6434E-9
697.000E+0	28.6733E-9
698.000E+0	28.6868E-9
699.000E+0	28.6203E-9
700.000E+0	28.6251E-9
701.000E+0	28.6118E-9
702.000E+0	28.6727E-9
703.000E+0	28.6474E-9
704.000E+0	28.6058E-9
705.000E+0	28.5986E-9
706.000E+0	28.6321E-9
707.000E+0	28.6580E-9
708.000E+0	28.5800E-9
709.000E+0	28.5811E-9
710.000E+0	28.5685E-9
711.000E+0	28.6423E-9
712.000E+0	28.6223E-9
713.000E+0	28.5579E-9
714.000E+0	28.5574E-9
715.000E+0	28.5841E-9
716.000E+0	28.6294E-9
717.000E+0	28.5594E-9
718.000E+0	28.5394E-9
719.000E+0	28.5255E-9
720.000E+0	28.6008E-9
721.000E+0	28.5964E-9
722.000E+0	28.5047E-9
723.000E+0	28.5055E-9
724.000E+0	28.5241E-9
724.999E+0	28.5926E-9
726.000E+0	28.5312E-9
727.000E+0	28.4853E-9
728.000E+0	28.4704E-9
729.000E+0	28.5469E-9
730.000E+0	28.5682E-9
731.000E+0	28.4710E-9
732.000E+0	28.4554E-9
733.000E+0	28.4797E-9
734.000E+0	28.5574E-9
735.000E+0	28.5009E-9
736.000E+0	28.4335E-9
737.000E+0	28.4288E-9
738.000E+0	28.4899E-9
739.000E+0	28.5385E-9
740.004E+0	28.4529E-9
741.000E+0	28.4150E-9
742.000E+0	28.4298E-9
743.000E+0	28.5099E-9
744.000E+0	28.4785E-9
745.000E+0	28.3979E-9
746.000E+0	28.3930E-9
747.000E+0	28.4438E-9
748.000E+0	28.5097E-9
749.000E+0	28.4310E-9
750.000E+0	28.3758E-9
751.000E+0	28.3801E-9
752.000E+0	28.4531E-9
753.000E+0	28.4452E-9
754.001E+0	28.3670E-9
755.000E+0	28.3497E-9
756.011E+0	28.3982E-9
757.001E+0	28.4614E-9
758.000E+0	28.3883E-9
759.002E+0	28.3208E-9
760.002E+0	28.3284E-9
761.000E+0	28.3862E-9
762.003E+0	28.4044E-9
763.000E+0	28.3341E-9
764.000E+0	28.2976E-9
765.000E+0	28.3406E-9
766.000E+0	28.4023E-9
767.000E+0	28.3480E-9
768.000E+0	28.2843E-9
769.000E+0	28.2821E-9
770.000E+0	28.3360E-9
771.000E+0	28.3694E-9
772.000E+0	28.3115E-9
773.000E+0	28.2621E-9
774.000E+0	28.2985E-9
775.000E+0	28.3306E-9
776.000E+0	28.3011E-9
777.000E+0	28.2506E-9
778.000E+0	28.2255E-9
779.000E+0	28.2907E-9
780.000E+0	28.3199E-9
781.000E+0	28.2717E-9
782.000E+0	28.2010E-9
783.000E+0	28.2446E-9
784.000E+0	28.2631E-9
785.000E+0	28.2535E-9
786.000E+0	28.2220E-9
787.000E+0	28.1762E-9
788.000E+0	28.2428E-9
789.000E+0	28.2619E-9
790.000E+0	28.2328E-9
791.000E+0	28.1592E-9
792.000E+0	28.1851E-9
793.000E+0	28.2149E-9
794.000E+0	28.2187E-9
794.999E+0	28.1913E-9
796.000E+0	28.1306E-9
797.000E+0	28.1947E-9
798.000E+0	28.2068E-9
799.000E+0	28.1868E-9
800.000E+0	28.1232E-9
801.000E+0	28.1269E-9
802.000E+0	28.1713E-9
803.000E+0	28.1760E-9
804.000E+0	28.1580E-9
805.000E+0	28.0750E-9
806.000E+0	28.1447E-9
807.000E+0	28.1552E-9
808.000E+0	28.1473E-9
809.000E+0	28.1070E-9
810.000E+0	28.0880E-9
811.000E+0	28.1201E-9
812.000E+0	28.1132E-9
813.003E+0	28.1075E-9
814.000E+0	28.0381E-9
815.000E+0	28.0892E-9
816.000E+0	28.0907E-9
817.000E+0	28.0937E-9
818.000E+0	28.0734E-9
819.000E+0	28.0324E-9
820.000E+0	28.0740E-9
821.000E+0	28.0479E-9
822.000E+0	28.0653E-9
823.000E+0	28.0125E-9
824.000E+0	28.0507E-9
825.000E+0	28.0486E-9
826.000E+0	28.0372E-9
827.000E+0	28.0376E-9
828.000E+0	27.9808E-9
829.000E+0	28.0284E-9
829.999E+0	27.9896E-9
831.000E+0	28.0161E-9
832.000E+0	27.9928E-9
833.000E+0	28.0033E-9
834.000E+0	27.9956E-9
835.000E+0	27.9663E-9
836.001E+0	27.9884E-9
837.000E+0	27.9336E-9
838.000E+0	27.9764E-9
839.000E+0	27.9377E-9
840.001E+0	27.9597E-9
841.000E+0	27.9540E-9
842.004E+0	27.9327E-9
843.000E+0	27.9399E-9
844.000E+0	27.8821E-9
845.003E+0	27.9249E-9
846.000E+0	27.8880E-9
847.008E+0	27.9185E-9
848.005E+0	27.8815E-9
849.000E+0	27.8892E-9
850.000E+0	27.9040E-9
851.000E+0	27.8746E-9
852.000E+0	27.8925E-9
853.000E+0	27.8268E-9
854.000E+0	27.8808E-9
855.000E+0	27.8544E-9
856.000E+0	27.8734E-9
857.000E+0	27.8529E-9
858.000E+0	27.8291E-9
859.000E+0	27.8546E-9
860.000E+0	27.8270E-9
861.000E+0	27.8479E-9
862.000E+0	27.7856E-9
863.000E+0	27.8386E-9
864.000E+0	27.8120E-9
865.001E+0	27.8096E-9
866.000E+0	27.8171E-9
867.000E+0	27.7704E-9
868.000E+0	27.8089E-9
869.000E+0	27.7873E-9
870.000E+0	27.7990E-9
871.000E+0	27.7502E-9
872.000E+0	27.7866E-9
873.000E+0	27.7692E-9
