Experiment	CLAM-python-txt
Date	28/01/16 11:49
User	Danilo A. Zanin
Clam Mode	CAE
Pass Energy (eV)	100.0
Focus Mode	3
Focus Value	0.6
Integration Time (ms)	100.0
Loops	2
Channeltron Rear (V)	3600.0
Channeltron Front (V)	200.0
Comment	Header modified manually to use functions of nanonis

[DATA]
Energy [eV]	Counts	L1 [V]	L2 [V]	Ch_rear [V]	Ch_front [V]	H+ [V]	H- [V]	Retarder [V]
73.0	0	192.574	192.574	3727.0	127.0	45.8679245283	8.1320754717	27.0
73.25	0	193.2335	193.2335	3726.75	126.75	45.6179245283	7.8820754717	26.75
73.5	0	193.893	193.893	3726.5	126.5	45.3679245283	7.6320754717	26.5
73.75	0	194.5525	194.5525	3726.25	126.25	45.1179245283	7.3820754717	26.25
74.0	0	195.212	195.212	3726.0	126.0	44.8679245283	7.1320754717	26.0
74.25	0	195.8715	195.8715	3725.75	125.75	44.6179245283	6.8820754717	25.75
74.5	0	196.531	196.531	3725.5	125.5	44.3679245283	6.6320754717	25.5
74.75	0	197.1905	197.1905	3725.25	125.25	44.1179245283	6.3820754717	25.25
75.0	0	197.85	197.85	3725.0	125.0	43.8679245283	6.1320754717	25.0
75.25	0	198.5095	198.5095	3724.75	124.75	43.6179245283	5.8820754717	24.75
75.5	0	199.169	199.169	3724.5	124.5	43.3679245283	5.6320754717	24.5
75.75	0	199.8285	199.8285	3724.25	124.25	43.1179245283	5.3820754717	24.25
76.0	0	200.488	200.488	3724.0	124.0	42.8679245283	5.1320754717	24.0
76.25	0	201.1475	201.1475	3723.75	123.75	42.6179245283	4.8820754717	23.75
76.5	0	201.807	201.807	3723.5	123.5	42.3679245283	4.6320754717	23.5
76.75	0	202.4665	202.4665	3723.25	123.25	42.1179245283	4.3820754717	23.25
77.0	0	203.126	203.126	3723.0	123.0	41.8679245283	4.1320754717	23.0
77.25	0	203.7855	203.7855	3722.75	122.75	41.6179245283	3.8820754717	22.75
77.5	0	204.445	204.445	3722.5	122.5	41.3679245283	3.6320754717	22.5
